Timestamp,What is your class standing?,How many credits are you signed up for in Autumn 2024?,Are you a vegetarian?,How many hours of sleep do you get on average each night? ,Would you date someone with a great personality even if you did not find them attractive?,What is your biological sex?,"How many hours do you study outside of classes (on average) per week? (if this is your first quarter at UW, you may skip this question) ",What day of the week were you born?,What is the most (in dollars) you have paid for a haircut?,How many pairs of shoes do you own?,How nervous are you about taking STAT 311,How many siblings do you have? (include step sibs too),"Suppose you were late to an exam and decided to use the ""flat tire"" excuse. Which tire would you  pick?",What is your height (in inches)?,What is the fastest you have ever driven (in miles per hour). Skip this question if you do not drive.,"How many years have you lived in WA state? (enter 0 if none, round your answer to a whole number)",How many states in the U.S. have you visited?,How much money did you earn last year (in dollars )? ,Do you usually eat breakfast in the morning?,Do you wear eyeglasses or contact lenses?,What is your monthly rent?,"Scientists predict that global warming may have big effects on the polar regions within the next 100 years. One of the possible effects is that the northern ice cap may completely melt. Would this bother you a great deal, some, a little, or not at all if it actually happened?"
9/19/2024 23:29,Freshman,12,No,6,No,Female,,Sunday,30,4,4,1,left front,61,,0,9,"8,000",No,No,1000,A great deal
9/21/2024 14:27,Sophomore,13,No,8,yes,Male,20,Thursday,25,3,4,2,right back,72,70,19,5,2382,Yes,No,2250,A great deal
9/21/2024 14:47,Sophomore,15,No,8,No,Male,28,Sunday,60,4,4,1,right back,64,120,0,24,8000,No,Yes,1800,Somewhat
9/21/2024 18:29,Junior,10,No,5,yes,Male,30,Monday,1,5,1,1,right front,70,60,17,20,100,Yes,Yes,1871,A great deal
9/21/2024 21:05,Junior,13,Yes,7,yes,Female,12,Wednesday,25,3,4,1,right front,62.5,50,19,13,$550 ,No,Yes,"$1,391 ",Somewhat
9/21/2024 23:19,Sophomore,15,Sometimes,7,No,Female,20,Thursday,300,7,3,1,right back,59,80,20,7,"4,000",No,Yes,"1,400",A great deal
9/22/2024 10:37,Sophomore,14,No,9,yes,Male,20,Thursday,62,7,4,5,left front,72,25,1,2,0,Yes,Yes,1600,Somewhat
9/22/2024 16:47,Sophomore,15,No,7.5,yes,Female,20,Saturday,80,10,2,2,right back,66,85,1,17,"5,000",Yes,Yes,730,A great deal
9/22/2024 20:42,Freshman,18,Yes,6,No,Male,,Tuesday,30,5,3,1,right back,69,80,18,12,0,No,No,1382,A great deal
9/22/2024 23:26,Sophomore,18,No,6,No,Male,35,Sunday,5.2,4,1,8,right front,68,130,1,3,2500,No,Yes,1290,Somewhat
9/22/2024 23:46,Sophomore,17,No,10,yes,Male,25,Tuesday,30,6,3,3,left front,69,83,20,7,4000,Yes,No,1391,A great deal
9/23/2024 15:49,Senior,16,No,8,No,Female,9,Tuesday,120,8,3,2,left front,68,90,19,4,"6,000",Yes,No,850,Somewhat
9/23/2024 16:26,Sophomore,18,No,6.5,No,Male,25,Sunday,35,10,4,3,right back,70,95,13,7,"10,000",No,No,"1,100",A great deal
9/23/2024 17:04,Junior,15,No,7,No,Male,15,Tuesday,90,7,4,1,left front,70,92,1,11,2140,No,Yes,1280,A great deal
9/23/2024 17:53,Senior,15,No,8,yes,Male,25,Saturday,40,6,3,2,right back,78,125,7,13,"28,000",Yes,Yes,960,A great deal
9/23/2024 18:20,Senior,15,Sometimes,8,yes,Female,30,Friday,100,10,3,2,left front,63,65,21,4,I donâ€™t work ,Yes,No,I live at home so 0,Somewhat
9/23/2024 19:46,Senior,17,No,8,yes,Female,7,Saturday,80,6,5,3,right back,64,85,21,12,0,No,Yes,0,A great deal
9/23/2024 21:27,Junior,17,Yes,6,yes,Female,6,Thursday,75,6,4,0,right back,65,120,2,8,5000,Yes,No,3000,A great deal
9/23/2024 22:25,Junior,18,No,7,No,Female,20,Sunday,100,40,2,2,right back,65,85,3,26,4800,Yes,Yes,1400,A great deal
9/23/2024 22:27,Junior,15,No,7,yes,Male,11,Monday,85,20,2,1,left back,67,90,9,35,8000,No,Yes,700,Somewhat
9/23/2024 23:26,Senior,17,No,7,yes,Male,40,Sunday,40,4,4,1,right back,69,110,21,7,"5,000",No,Yes,0,A great deal
9/24/2024 10:22,Sophomore,18,No,7,yes,Male,30,Monday,65,5,3,4,right back,5.11,132,1,4,1100,No,No,1500,Somewhat
9/24/2024 10:47,Junior,15,No,7,No,Female,10,Thursday,120,20,4,1,left front,62,85,19,12,about 25k,Yes,No,0,Somewhat
9/24/2024 11:15,Junior,18,No,8,yes,Female,18,Thursday,30,24,4,2,right front,57,70,12,3,5000,Yes,No,1010,A great deal
9/24/2024 12:15,Sophomore,17,No,7,No,Female,20,Tuesday,130,about 20 pairs,3,2,right front,5.58,38,1,6,600,No,Yes,1880,A little
9/24/2024 13:51,Junior,18,No,7,yes,Male,15,Monday,110,5,4,2,left front,66,80,7,6,1000,No,No,2100,A great deal
9/24/2024 13:59,Sophomore,20,No,7,No,Female,15,Wednesday,100,10,3,2,left front,66,95,19,10,15000,Yes,Yes,1000,Somewhat
9/24/2024 14:48,Sophomore,14,Sometimes,9,"yes, No",Female,35,Monday,60,3,5,1,right front,62,75,19,11,"11,000",No,No,"1,300",A great deal
9/24/2024 15:08,Sophomore,15,No,8,No,Female,20,Sunday,50,10,5,2,right front,62,80,19,18,2000,No,No,1700,Somewhat
9/24/2024 15:56,Junior,15,No,8,yes,Female,5,Tuesday,100,5,3,1,left back,66,86,0,13,1787,No,Yes,1400,A great deal
9/24/2024 16:57,Junior,15,No,7.5,No,Male,7,Thursday,25,3,4,1,left front,72,100,19,5,3500,Yes,No,1000,A great deal
9/24/2024 17:01,Junior,15,No,7,yes,Male,25,Tuesday,56,6,4,4,right front,74,96,1,39,"25,000",No,No,1050,A great deal
9/24/2024 17:41,Junior,16,No,7,No,Male,20,Tuesday,60,12,2,0,left front,76,,2,2,0,Yes,Yes,1055,Somewhat
9/24/2024 17:43,Sophomore,15,Yes,8,No,Female,30,Wednesday,150,9,4,1,left front,64,,16,10,"$6,000 ",Yes,No,$0 ,A great deal
9/24/2024 18:34,Freshman,19,No,7,No,Female,,Monday,1,8,4,2,right front,67,72,8,5,0,Yes,Yes,1436,Somewhat
9/24/2024 20:53,Sophomore,15,No,7,No,Female,,Thursday,65,12,2,3,left front,68,110,18,10,"10,000",No,Yes,700,A great deal
9/24/2024 21:37,Senior,17,Sometimes,9,yes,Prefer not to answer,8,Monday,120,12,4,2,left front,66,92,21,8,3500,No,No,1210,A great deal
9/25/2024 6:32,Junior,18,No,7,yes,Male,15,Monday,50,4,3,1,right back,65,91,2,10,"$1,079 ",No,No,"$1,237 ",A great deal
9/25/2024 9:44,Sophomore,17,Sometimes,6,yes,Male,4,Friday,30,7,5,0,left back,72,93,1,5,0,No,No,1000,A great deal
9/25/2024 10:11,Sophomore,15,No,6,yes,Female,20,Monday,60,7,4,6,right front,68,45,11,1,0,Yes,Yes,0,A great deal
9/25/2024 10:16,Junior,17,Sometimes,7,yes,Female,20,Friday,80,6,3,1,left front,61,80,18,11,0,Yes,Yes,0,A great deal
9/25/2024 10:28,Sophomore,15,Sometimes,7,yes,Female,10,Tuesday,280,15,4,1,left back,64,90,2,15,2000,Yes,No,1737,A great deal
9/25/2024 10:32,Sophomore,15,No,8,yes,Female,10,Wednesday,90,5,3,1,right back,67,90,19,6,"10,000",Yes,Yes,"1,400",Somewhat
9/25/2024 10:37,Junior,13,No,8,No,Male,15,Friday,55,10,4,1,left back,75,125,21,11,"10,500",Yes,Yes,1150,A great deal
9/25/2024 10:40,Sophomore,18,No,7,No,Female,18,Friday,6,7,4,0,left front,66.93,,1,4,0,Yes,Yes,1500 dollars ,Somewhat
9/25/2024 10:46,Junior,15,No,7,yes,Male,,Saturday,40,2,2,1,left front,71,80,20,4,"5,000",No,Yes,1340,A great deal
9/25/2024 11:00,Senior,15,No,7,yes,Male,2,Thursday,35,6,1,2,right back,70,100,11,4,"30,000",No,Yes,"2,028",A great deal
9/25/2024 11:01,Senior,15,No,8,yes,Male,4,Wednesday,20,2,2,1,right back,70,75,21,13,5000,Yes,No,1100,A great deal
9/25/2024 11:18,Sophomore,18,No,8,yes,Female,12,Wednesday,30,7,3,2,left front,5,,1,7,500,Yes,Yes,I don't pay rent - my parents do.,A great deal
9/25/2024 12:29,Freshman,14,No,7,No,Male,,Thursday,1,5,3,1,right front,67,,18,11,"$3,000 ",No,Yes,"$3,200 ",Somewhat
9/25/2024 13:50,Junior,16,Yes,7,No,Male,14,Friday,40,15,3,1,right back,69,90,3,15,"10,000",No,No,"1,200",A great deal
9/25/2024 14:09,Junior,15,No,7,No,Male,,Monday,42,20,4,1,left back,71,105,20,9,5400,Yes,No,900,A great deal
9/25/2024 14:49,Senior,15,No,7,No,Male,10,Wednesday,20,3,2,2,right front,75,90,18,15,12000,No,No,980,A great deal
9/25/2024 14:50,Junior,14,Yes,8.45,yes,Male,,Tuesday,120,18,3,1,right back,68,70,2,16,24000,Yes,Yes,2200,A little
9/25/2024 15:17,Junior,18,No,6,yes,Female,20,Friday,200,7,5,2,left front,62,80,2,12,5000,No,No,1500,Somewhat
9/25/2024 15:28,Junior,18,No,7,No,Male,8,Thursday,30,2,2,1,right front,69,88,21,5,12k,No,No,1200,Somewhat
9/25/2024 15:40,Sophomore,14,No,8,yes,Male,15,Thursday,30,4,1,2,right front,74,80,20,9,"10,000",Yes,No,0,A great deal
9/25/2024 15:33,Sophomore,15,No,6,yes,Female,20,Thursday,80,5,4,2,left front,62,99,1,5,3000,Yes,No,900,A great deal
9/25/2024 15:33,Sophomore,17,No,7,"yes, No",Male,20,Sunday,45,4,2,2,right front,68,90,1,10,12000,Yes,No,929.5,A great deal
9/25/2024 15:34,Sophomore,15,No,8,yes,Female,20,Friday,120,30,4,1,right back,61,105,19,19,4000,Yes,Yes,1500,A great deal
9/25/2024 15:34,Sophomore,12,No,8,yes,Male,5,Tuesday,60,reebox,2,2,left back,75,110,12,15,5k,Yes,No,"1,5k",A great deal
9/25/2024 15:34,Sophomore,15,No,8,No,Female,15,Saturday,90,10,3,1,left back,64,95,1,15,"5,000",No,No,"1,000",A great deal
9/25/2024 15:34,Sophomore,18,No,8,yes,Male,30,Saturday,120,3,3,1,right front,72,,1,2,0,Yes,Yes,1000,Somewhat
9/25/2024 15:34,Sophomore,17,Sometimes,7,yes,Female,10,Thursday,80,8,2,1,left front,157,,1,5,0,No,No,1400,A great deal
9/25/2024 15:34,Sophomore,15,No,6,yes,Male,12,Tuesday,50,3,4,2,right front,70,70,11,9,0,Yes,No,1400,A great deal
9/25/2024 15:34,Sophomore,15,No,7,No,Female,12,Wednesday,100,4,3,1,right front,62,85,1,5,"12,000",Yes,Yes,980,A great deal
9/25/2024 15:35,Sophomore,18,No,8,yes,Male,12,Friday,20,8,1,2,right front,66,87,1,3,-,Yes,Yes,-,A little
9/25/2024 15:35,Sophomore,16,No,7,yes,Female,20,Friday,40,12,4,1,right front,63,96,16,42,4000,No,Yes,1200,A great deal
9/25/2024 15:35,Junior,14,No,7,No,Male,10,Thursday,30,5,3,2,right back,69,100,20,5,14000,Yes,No,0,Somewhat
9/25/2024 15:35,Junior,13,Sometimes,6,yes,Male,10,Monday,18,20,3,2,right front,5.8,90,20,12,"10,000",No,Yes,0,A little
9/25/2024 15:35,Sophomore,17,No,8,yes,Male,10,Tuesday,60,5,2,2 sisters,right back,71,95,13,20,2000,No,Yes,1400,Somewhat
9/25/2024 15:35,Junior,15,No,8,No,Female,10,Friday,40,8,4,4,left front,64,90,19,11,3200,Yes,No,1000,A great deal
9/25/2024 15:35,Senior,15,No,6,No,Male,7,Wednesday,120,15,3,1,right front,76,126,21,10,3000,Yes,No,1070,A great deal
9/25/2024 15:35,Sophomore,15,No,9,No,Female,35,Sunday,80,9,4,0,right front,68,65,19,5,8000,No,Yes,0,A great deal
9/25/2024 15:36,Sophomore,16,Sometimes,8,No,Female,18,Tuesday,120,20,3,2,left front,65,100,1,30,"10,000",No,Yes,"1,200",A great deal
9/25/2024 15:36,Junior,15,No,7,No,Male,7,Tuesday,80,5,2,1,right front,72,110,2,11,0,No,No,1500,A great deal
9/25/2024 15:36,Sophomore,20,No,7.5,yes,Male,25,Sunday,55,7,3,1,right front,70,100,19,30,9000,Yes,No,1060,A great deal
9/25/2024 15:36,Sophomore,18,No,6,No,Female,3,Monday,60,15,3,no,left front,63.78,,1,4,0,No,No,1758,Somewhat
9/25/2024 15:36,Sophomore,14,No,5,yes,Female,35,Friday,200,9?,2,0,right back,61,80,0,11,Not sure,Yes,Yes,1200,A great deal
9/25/2024 15:36,Sophomore,15,No,8,No,Male,13,Monday,60,12,3,2,left back,69,100,3,20,20000,Yes,Yes,1500,A great deal
9/25/2024 15:36,Sophomore,16,No,7,yes,Male,19,Tuesday,45,3,2,1,right back,67,75,18,6,0,Yes,Yes,0,Somewhat
9/25/2024 15:36,Junior,17,No,9,No,Female,20,Tuesday,70,6,4,3,left front,60,95,3,9,dont know,No,No,1100,A great deal
9/25/2024 15:37,Junior,15,No,8,yes,Male,6,Sunday,45,3,3,3,left front,73,120,17,9,a good amount,Yes,No,2800,Not al all
9/25/2024 15:37,Sophomore,14,Sometimes,8,yes,Female,13,Tuesday,60,12,2,8,right front,67,103,20,11,"2,000",Yes,No,970,A great deal
9/25/2024 15:37,Sophomore,15,No,7,No,Male,8,Monday,70,5,3,1,right back,70,102,16,12,"$9,770 ",No,No,"$1,700 ",Somewhat
9/25/2024 15:37,Sophomore,15,No,8,No,Male,10,Thursday,50,14,3,1,right back,75,115,13,20,2000,No,No,1000,A great deal
9/25/2024 15:37,Sophomore,17,No,8,yes,Female,5,Wednesday,150,8,3,1,right back,64.9,80,0,5,0,Yes,Yes,1391,A great deal
9/25/2024 15:37,Sophomore,18,No,8,No,Female,18,Wednesday,300,16,5,6,right back,68,75,1,5,3500,No,Yes,1600,Somewhat
9/25/2024 15:37,Junior,18,No,7,No,Male,15,Monday,110,10,3,1,right front,75,110,19,5,"10,000",Yes,Yes,1400,A great deal
9/25/2024 15:37,Sophomore,15,No,8,No,Female,10,Tuesday,60,17,3,2,left front,64,100,7,20,"2,000",Yes,No,Not sure,Somewhat
9/25/2024 15:38,Junior,17,"No, Sometimes",8,No,Female,6,Monday,15,20,3,1,left front,165,,2,7,-,Yes,Yes,1500,Somewhat
9/25/2024 15:38,Sophomore,15,No,10,yes,Male,16,Sunday,20,10,4,1,right back,70,,1,5,0,Yes,Yes,1700,Somewhat
9/25/2024 15:38,Sophomore,18,No,7,yes,Male,15,Friday,50,13,3,1,right front,73,126,19,30,"20,000",No,Yes,980,A great deal
9/25/2024 15:38,Senior,15,Yes,8,yes,Female,5,Monday,20,3,4,0,right front,65,100,13,10,600,Yes,Yes,2100,A great deal
9/25/2024 15:39,Sophomore,107,"No, Sometimes",7,No,Female,20,Wednesday,200,10,3,1,right back,5.6,50,1,7,0,Yes,Yes,2369,Somewhat
9/25/2024 15:39,Junior,16,No,7,No,Male,60,Monday,15,3,1,1,left back,68,60,20,9,3000,No,No,"1,391",Somewhat
9/25/2024 15:39,Sophomore,15,No,9,yes,Male,10,Thursday,55,8,3,2,right back,5.11,90,1,15,5000,Yes,Yes,1500,Somewhat
9/25/2024 15:40,Freshman,17,No,7,yes,Male,,Sunday,70,4,4,1,left back,71,96,18,13,"5,000",Yes,No,735,A great deal
9/25/2024 15:40,Sophomore,15,No,5,yes,Male,20,Wednesday,1,2,1,2,left front,68,90,19,5,14000,No,Yes,0,Not al all
9/25/2024 15:41,Sophomore,17,No,7,yes,Female,20,Wednesday,90,8,3,1,right back,63,110,19,8,5000,Yes,No,1750,A great deal
9/25/2024 15:41,Junior,17,No,7,yes,Female,12,Saturday,90,12,3,1,left front,67,95,19,16,3500,No,Yes,953,A great deal
9/25/2024 15:42,Junior,15,No,9,No,Female,8,Thursday,120,12,3,5,right back,62,82,20,17,7000,Yes,Yes,1200,A great deal
9/25/2024 15:43,Sophomore,14,Yes,9,yes,Female,20,Saturday,90,4,4,1,left front,66,100,1,9,0,Yes,Yes,1260,A great deal
9/25/2024 15:44,Junior,19,Sometimes,8,No,Male,50,Friday,80,3,1,1,left front,73,72,5,7,1500,Yes,Yes,1537,Not al all
9/25/2024 15:45,Sophomore,12,Sometimes,10,yes,Male,35,Tuesday,50,3,5,1,left back,66,80,19,5,0,Yes,Yes,#?,Somewhat
9/25/2024 15:45,Sophomore,15,Yes,7,No,Male,15,Sunday,50,7,4,1,left front,70,125,1,3,300,Yes,Yes,1300,Somewhat
9/25/2024 15:50,Senior,11,Sometimes,6,yes,Prefer not to answer,20,Tuesday,90,6,3,1,left front,66,105,21,15,600,No,Yes,835,A great deal
9/25/2024 15:51,Sophomore,17,No,7,yes,Male,8,Friday,150,9,3,1,right front,68.9,87,1,2,0,No,Yes,1590,A great deal
9/25/2024 15:52,Junior,15,No,8,yes,Female,12,Friday,35,5,2,1,left front,64,80,19,6,400,Yes,Yes,0,Somewhat
9/25/2024 15:55,Sophomore,15,No,8,No,Male,10,Thursday,50,8,3,2,right front,70,110,1,12,5000,Yes,Yes,1600,A great deal
9/25/2024 16:02,Sophomore,15,No,7,yes,Female,10,Tuesday,50,3,2,2,right back,67,50,1,6,0,No,No,1182,A little
9/25/2024 16:20,Senior,17,Sometimes,8,yes,Male,25,Wednesday,70,12,3,1,right front,70,100,3,26,4000,Yes,No,950,A great deal
9/25/2024 17:05,Sophomore,15,No,7,No,Male,15,Friday,50,1,2,1,left front,71,85,13,10,3500,Yes,No,1409,A great deal
9/25/2024 17:09,Sophomore,18,No,5,yes,Male,2,Tuesday,30,7,5,1,left front,72,105,1,12,0,No,No,1380,A great deal
9/25/2024 17:24,Sophomore,15,No,7,yes,Female,30,Saturday,130,6,3,1,right front,64,100,1,13,0,No,No,1265,A great deal
9/25/2024 17:30,Sophomore,17,No,9,No,Female,25,Thursday,55,15,4,1,left front,63,75,18,22,1000,Yes,No,1500,A great deal
9/25/2024 18:54,Senior,12,No,9,yes,Male,15,Sunday,80,3,1,2,right front,76,110,21,8,4000,Yes,Yes,980,A great deal
9/25/2024 19:55,Junior,14,No,8,yes,Male,14,Friday,40,10,3,1,left back,69,85,20,16,2250,No,No,0,A great deal
9/25/2024 20:45,Freshman,15,Yes,6,yes,Female,,Friday,1,10,4,2,right front,66,,0,0,0,No,Yes,1100,Somewhat
9/25/2024 21:43,Sophomore,14,No,7,yes,Female,20,Sunday,60,5,2,1,left front,59,60,5,13,0,Yes,Yes,1500,A great deal
9/25/2024 21:55,Sophomore,19,No,7,No,Female,12,Monday,30,10,4,1,right back,64.5,65,1,12,0,Yes,Yes,1535,A great deal
9/25/2024 22:10,Sophomore,15,No,8,No,Female,9,Tuesday,13,4,5,1,left back,64,80,17,6,"1,000",No,No,0,A great deal
9/25/2024 22:11,Sophomore,18,No,8,No,Female,30,Tuesday,75,11,3,1,left front,63,105,19,20,8000,No,Yes,975,A great deal
9/25/2024 23:50,Junior,15,No,5,No,Female,,Thursday,60,8,3,1,right front,62,40,2,8,5000,Yes,Yes,1100,A great deal
9/26/2024 2:32,Junior,14,No,7,yes,Male,15,Tuesday,110,11,2,2,right back,69,,2,15,n/a,Yes,No,1100,Somewhat
9/26/2024 12:00,Junior,16,No,5,No,Female,30,Wednesday,70,8,3,3,right back,65,120,20,12,1000,Yes,Yes,700,A great deal
9/26/2024 12:30,Sophomore,13,No,7,No,Male,10,Thursday,60,5,3,1,right front,71,110,1,4,0,Yes,No,1500,Somewhat
9/26/2024 16:30,Junior,18,No,7,yes,Male,20,Wednesday,34,12,3,2,right front,6,,2,8,10000,Yes,Yes,1300,Somewhat
9/26/2024 22:13,Junior,15,No,6,No,Female,,Wednesday,60,6,1,2,left back,62,70,20,2,6k,No,Yes,nothing,A little
9/27/2024 13:07,Senior,14,No,7,yes,Female,3,Friday,130,7,2,1,left back,65,80,8,8,0,Yes,No,0,A great deal
9/27/2024 14:38,Sophomore,14,No,8,yes,Male,18,Thursday,100,3,4,1,right front,68.5,85,1,15,10000,No,No,1200,A great deal
9/29/2024 5:37,Senior,12,No,7,yes,Male,4,Wednesday,150,10,4,2,left back,66,80,20,5,0,No,No,1150,A great deal
9/30/2024 15:49,Sophomore,15,No,8,No,Female,10,Tuesday,235,17,3,2,right back,69,110,19,7,15000,No,Yes,1401,A great deal
10/2/2024 18:06,Sophomore,12,No,7,No,Female,5,Wednesday,50,7,3,4,left front,61,75,10,4,Not sure,Yes,Yes,1450,Somewhat
10/6/2024 23:51,Sophomore,17,No,7,No,Female,30,Friday,50,8,4,0,right back,66,76,20,9,0,Yes,No,1100,A great deal
10/7/2024 22:56,Senior,15,Yes,7,No,Female,10,Saturday,65,12,3,1,right front,60,85,9,8,20000,Yes,Yes,892,A great deal
10/15/2024 4:05,Senior,15,No,7,yes,Male,10,Thursday,60,7,3,1,left back,72,80,21,5,"$2,000 ",No,Yes,"$1,250 ",A great deal
10/15/2024 16:55,Sophomore,13,No,8,yes,Male,,Thursday,60,3,3,0,right back,6.1,,1,4,.,No,Yes,1700,Somewhat
